,w1,w2,acc(%),Latency(ms),CLI,AI(ops/byte)
0,0.0,1.0,79.23,10.71,1.8720821661998133,20.05
1,0.05,0.95,79.39,10.72,1.8712686567164176,20.06
2,0.1,0.9,80.1,10.95,1.8611872146118722,20.38
3,0.15,0.85,80.1,10.95,1.8611872146118722,20.38
4,0.2,0.8,80.47,11.96,1.8453177257525082,22.07
5,0.25,0.75,80.8,12.57,1.8297533810660302,23.0
6,0.3,0.7,80.8,12.57,1.8297533810660302,23.0
7,0.35,0.65,81.18,13.62,1.798825256975037,24.5
8,0.4,0.6,81.38,13.55,1.77859778597786,24.1
9,0.45,0.55,81.51,14.09,1.7615330021291697,24.82
10,0.5,0.5,82.19,16.36,1.6546454767726162,27.07
11,0.55,0.45,83.07,17.96,1.5044543429844097,27.02
12,0.6,0.4,84.48,21.54,1.2038068709377903,25.93
13,0.65,0.35,84.97,23.14,1.0916162489196197,25.26
14,0.7,0.3,85.31,27.35,0.9294332723948812,25.42
15,0.75,0.25,85.31,27.35,0.9294332723948812,25.42
16,0.8,0.2,85.4,28.14,0.8695806680881307,24.47
17,0.85,0.15,85.4,28.14,0.8695806680881307,24.47
18,0.9,0.1,85.09,29.77,0.8468256634195499,25.21
19,0.95,0.05,85.15,30.48,0.8543307086614172,26.04
20,1.0,0.0,85.15,30.48,0.8543307086614172,26.04
