w1,w2,acc(%),Latency(ms),CLI,AI(ops/byte)
0.0,1.0,79.23,10.71,3.331,20.05
0.05,0.95,79.39,10.72,3.392,20.06
0.1,0.9,80.10,10.95,3.635,20.38
0.15,0.85,80.10,10.95,3.635,20.38
0.2,0.8,80.47,11.96,3.707,22.07
0.25,0.75,80.80,12.57,3.753,23.00
0.3,0.7,80.80,12.57,3.753,23.00
0.35,0.65,81.18,13.62,1.846,24.50
0.4,0.6,81.38,13.55,1.973,24.10
0.45,0.55,81.51,14.09,2.042,24.82
0.5,0.5,82.19,16.36,2.36,27.07
0.55,0.45,83.07,17.96,2.74,27.02
0.6,0.4,84.48,21.54,3.188,25.93
0.65,0.35,84.97,23.14,3.326,25.26
0.7,0.3,85.31,27.35,5.328,25.42
0.75,0.25,85.31,27.35,5.328,25.42
0.8,0.2,85.40,28.14,5.422,24.47
0.85,0.15,85.40,28.14,5.422,24.47
0.9,0.1,85.09,29.77,5.012,25.21
0.95,0.05,85.15,30.48,5.093,26.04

